id,G3C
310,5
355,3
218,4
88,3
131,5
124,4
236,2
14,2
162,5
123,2
138,3
111,3
51,2
112,2
9,2
211,2
16,2
179,3
0,4
105,3
185,3
207,2
70,2
38,3
150,5
159,3
363,2
375,3
145,3
261,4
42,1
160,5
225,4
246,2
214,3
192,4
389,5
327,3
338,1
188,3
147,3
341,5
100,4
34,2
110,1
175,3
293,1
135,5
371,3
154,3
19,3
380,2
158,2
270,3
44,3
268,3
258,2
244,5
108,2
342,2
169,2
79,4
376,2
84,3
8,1
229,3
99,4
345,2
326,2
367,5
28,3
31,1
55,3
223,2
32,2
271,2
48,2
328,3
325,3
33,3
361,3
35,4
300,3
63,3
157,3
128,5
46,3
227,3
66,3
251,3
333,5
339,3
377,3
387,5
320,2
45,4
206,4
168,5
248,4
47,1
113,1
177,4
219,3
315,3
40,3
21,2
101,1
164,4
69,2
53,3
199,3
273,2
137,5
24,4
322,3
187,2
184,3
205,3
134,5
299,2
116,2
212,2
359,2
142,3
373,4
340,3
309,3
231,3
217,4
56,2
312,3
291,2
289,2
181,3
97,3
114,3
118,4
298,2
170,5
343,5
54,2
176,3
194,2
198,1
182,1
324,2
103,4
220,4
130,5
287,3
60,3
94,2
193,3
140,5
148,5
202,3
152,3
323,2
10,3
269,5
96,2
210,4
240,3
57,2
303,1
36,1
356,2
20,2
350,4
75,3
200,2
77,3
263,3
390,3
149,3
349,2
2,3
52,3
262,3
253,4
259,5
183,4
151,2
360,2
302,2
190,2
74,3
243,3
383,5
87,2
239,5
143,2
331,2
266,3
288,2
136,5
166,3
83,2
353,4
155,4
279,3
126,3
195,2
265,1
366,2
104,1
153,5
282,3
226,2
25,4
196,2
64,3
15,2
297,4
109,2
336,2
308,3
26,3
76,3
43,3
280,4
3,2
365,3
49,4
385,3
30,3
121,2
115,2
370,3
216,5
264,5
209,4
316,5
1,4
313,3
22,2
317,3
319,3
7,4
141,3
86,4
352,4
241,3
215,2
68,4
50,2
156,2
252,4
357,3
254,3
276,3
178,3
281,3
237,3
71,3
129,1
144,5
335,2
133,3
203,4
255,4
72,4
235,3
37,2
